Наименование;2010;2013;2015
добыча топливно-энергетических полезных ископаемых;385,5;444,3;691,7
добыча полезных ископаемых, кроме топливно-энергетических;3,8;10,6;22,9
производство пищевых продуктов, включая напитки, и табака;2,7;8,0;4,4
текстильное и швейное производство;0,8;0,3;
производство кожи, изделий из кожи и производство обуви;9,6;13,3;
обработка древесины и производство изделий из дерева;15,6;7,9;10,9
"целлюлозно-бумажное производство; издательская и полиграфическая деятельность";89,2;36,6;247,0
производство кокса и нефтепродуктов;198,1;363,2;780,9
химическое производство;73,2;24,7;40,8
производство резиновых и пластмассовых изделий;3,1;2,5;0,8
производство прочих неметаллических минеральных продуктов;11,7;5,2;23,5
металлургическое производство и производство готовых металлических изделий;194,8;75,7;179,1
производство машин и оборудования;1,3;15,1;2,8
производство электрооборудования, электронного и оптического оборудования;1,7;4,3;27,0
производство транспортных средств и оборудования;11,8;33,8;11,6
прочие производства, не включенные в другие группировки обрабатывающих производств;38,1;38,8;8,1
производство и распределение электроэнергии, газа и воды;23,5;50,3;83,6
связь;0,3;2,0;4,0
деятельность, связанная с использованием вычислительной техники и информационных технологий;;;0,2
научные исследования и разработки;;10,5;12,1
предоставление прочих видов услуг;113,3;3,0;0,3
